,sg_value,integer,quadrated
"(5, 1, 1, 1)",0,8,FALSE
"(2, 2, 2, 1, 1)",4,8,FALSE
"(4, 2, 1, 1)",1,8,FALSE
"(3, 3, 1, 1)",2,8,FALSE
"(6, 1, 1)",0,8,FALSE
"(3, 2, 2, 1)",2,8,FALSE
"(5, 2, 1)",1,8,FALSE
"(4, 3, 1)",2,8,FALSE
"(7, 1)",0,8,FALSE
"(2, 2, 2, 2)",0,8,TRUE
"(4, 2, 2)",2,8,FALSE
"(3, 3, 2)",0,8,FALSE
"(6, 2)",3,8,TRUE
"(5, 3)",4,8,FALSE
"(4, 4)",0,8,TRUE
"(8,)",2,8,FALSE
"(1, 1, 1, 1, 1, 1, 1, 1, 1)",1,9,FALSE
"(2, 1, 1, 1, 1, 1, 1, 1)",3,9,FALSE
"(3, 1, 1, 1, 1, 1, 1)",1,9,FALSE
"(2, 2, 1, 1, 1, 1, 1)",0,9,FALSE
"(4, 1, 1, 1, 1, 1)",3,9,FALSE
"(3, 2, 1, 1, 1, 1)",2,9,FALSE
"(5, 1, 1, 1, 1)",1,9,FALSE
"(2, 2, 2, 1, 1, 1)",3,9,FALSE
"(4, 2, 1, 1, 1)",0,9,FALSE
"(3, 3, 1, 1, 1)",1,9,FALSE
"(6, 1, 1, 1)",3,9,FALSE
"(3, 2, 2, 1, 1)",1,9,FALSE
"(5, 2, 1, 1)",0,9,FALSE
"(4, 3, 1, 1)",3,9,FALSE
"(7, 1, 1)",1,9,FALSE
"(2, 2, 2, 2, 1)",4,9,FALSE
"(4, 2, 2, 1)",3,9,FALSE
"(3, 3, 2, 1)",2,9,FALSE
"(6, 2, 1)",2,9,FALSE
"(5, 3, 1)",1,9,FALSE
"(4, 4, 1)",4,9,FALSE
"(8, 1)",3,9,FALSE
"(3, 2, 2, 2)",4,9,FALSE
"(5, 2, 2)",1,9,FALSE
"(4, 3, 2)",2,9,FALSE
"(7, 2)",0,9,FALSE
"(3, 3, 3)",1,9,FALSE
"(6, 3)",3,9,FALSE
"(5, 4)",4,9,FALSE
"(9,)",1,9,FALSE
"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,10,FALSE
"(2, 1, 1, 1, 1, 1, 1, 1, 1)",0,10,FALSE
"(3, 1, 1, 1, 1, 1, 1, 1)",0,10,FALSE
"(2, 2, 1, 1, 1, 1, 1, 1)",3,10,FALSE
"(4, 1, 1, 1, 1, 1, 1)",0,10,FALSE
"(3, 2, 1, 1, 1, 1, 1)",1,10,FALSE
"(5, 1, 1, 1, 1, 1)",0,10,FALSE
"(2, 2, 2, 1, 1, 1, 1)",0,10,FALSE
"(4, 2, 1, 1, 1, 1)",1,10,FALSE
"(3, 3, 1, 1, 1, 1)",2,10,FALSE
"(6, 1, 1, 1, 1)",0,10,FALSE
"(3, 2, 2, 1, 1, 1)",6,10,FALSE
"(5, 2, 1, 1, 1)",1,10,FALSE
"(4, 3, 1, 1, 1)",5,10,FALSE
"(7, 1, 1, 1)",0,10,FALSE
"(2, 2, 2, 2, 1, 1)",3,10,FALSE
"(4, 2, 2, 1, 1)",0,10,FALSE
"(3, 3, 2, 1, 1)",6,10,FALSE
"(6, 2, 1, 1)",1,10,FALSE
"(5, 3, 1, 1)",0,10,FALSE
"(4, 4, 1, 1)",3,10,FALSE
"(8, 1, 1)",0,10,FALSE
"(3, 2, 2, 2, 1)",1,10,FALSE
"(5, 2, 2, 1)",5,10,FALSE
"(4, 3, 2, 1)",0,10,FALSE
"(7, 2, 1)",1,10,FALSE
"(3, 3, 3, 1)",4,10,FALSE
"(6, 3, 1)",6,10,FALSE
"(5, 4, 1)",1,10,FALSE
"(9, 1)",0,10,FALSE
"(2, 2, 2, 2, 2)",2,10,FALSE
"(4, 2, 2, 2)",3,10,TRUE
"(3, 3, 2, 2)",2,10,FALSE
"(6, 2, 2)",2,10,FALSE
"(5, 3, 2)",6,10,FALSE
"(4, 4, 2)",2,10,FALSE
"(8, 2)",3,10,TRUE
"(4, 3, 3)",4,10,FALSE
"(7, 3)",0,10,FALSE
"(6, 4)",3,10,TRUE
"(5, 5)",2,10,FALSE
"(10,)",2,10,FALSE
"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,11,FALSE
"(2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,11,FALSE
"(3, 1, 1, 1, 1, 1, 1, 1, 1)",1,11,FALSE
"(2, 2, 1, 1, 1, 1, 1, 1, 1)",0,11,FALSE
"(4, 1, 1, 1, 1, 1, 1, 1)",3,11,FALSE
"(3, 2, 1, 1, 1, 1, 1, 1)",2,11,FALSE
"(5, 1, 1, 1, 1, 1, 1)",1,11,FALSE
"(2, 2, 2, 1, 1, 1, 1, 1)",3,11,FALSE
"(4, 2, 1, 1, 1, 1, 1)",0,11,FALSE
"(3, 3, 1, 1, 1, 1, 1)",1,11,FALSE
"(6, 1, 1, 1, 1, 1)",3,11,FALSE
"(3, 2, 2, 1, 1, 1, 1)",2,11,FALSE
"(5, 2, 1, 1, 1, 1)",2,11,FALSE
"(4, 3, 1, 1, 1, 1)",3,11,FALSE
"(7, 1, 1, 1, 1)",1,11,FALSE
"(2, 2, 2, 2, 1, 1, 1)",0,11,FALSE
"(4, 2, 2, 1, 1, 1)",3,11,FALSE
"(3, 3, 2, 1, 1, 1)",5,11,FALSE
"(6, 2, 1, 1, 1)",2,11,FALSE
"(5, 3, 1, 1, 1)",1,11,FALSE
"(4, 4, 1, 1, 1)",0,11,FALSE
"(8, 1, 1, 1)",3,11,FALSE
"(3, 2, 2, 2, 1, 1)",6,11,FALSE
"(5, 2, 2, 1, 1)",1,11,FALSE
"(4, 3, 2, 1, 1)",4,11,FALSE
"(7, 2, 1, 1)",0,11,FALSE
"(3, 3, 3, 1, 1)",1,11,FALSE
"(6, 3, 1, 1)",3,11,FALSE
"(5, 4, 1, 1)",2,11,FALSE
"(9, 1, 1)",1,11,FALSE
"(2, 2, 2, 2, 2, 1)",0,11,FALSE
"(4, 2, 2, 2, 1)",2,11,FALSE
"(3, 3, 2, 2, 1)",0,11,FALSE
"(6, 2, 2, 1)",3,11,FALSE
"(5, 3, 2, 1)",4,11,FALSE
"(4, 4, 2, 1)",0,11,FALSE
"(8, 2, 1)",2,11,FALSE
"(4, 3, 3, 1)",0,11,FALSE
"(7, 3, 1)",2,11,FALSE
"(6, 4, 1)",6,11,FALSE
"(5, 5, 1)",1,11,FALSE
"(10, 1)",3,11,FALSE
"(3, 2, 2, 2, 2)",1,11,FALSE
"(5, 2, 2, 2)",0,11,FALSE
"(4, 3, 2, 2)",0,11,FALSE
"(7, 2, 2)",1,11,FALSE
"(3, 3, 3, 2)",2,11,FALSE
"(6, 3, 2)",5,11,FALSE
"(5, 4, 2)",0,11,FALSE
"(9, 2)",0,11,FALSE
"(5, 3, 3)",1,11,FALSE
"(4, 4, 3)",2,11,FALSE
"(8, 3)",3,11,FALSE
"(7, 4)",0,11,FALSE
"(6, 5)",0,11,FALSE
"(11,)",1,11,FALSE
"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,12,FALSE
"(2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,12,FALSE
"(3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,12,FALSE
"(2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,12,FALSE
"(4, 1, 1, 1, 1, 1, 1, 1, 1)",0,12,FALSE
"(3, 2, 1, 1, 1, 1, 1, 1, 1)",1,12,FALSE
"(5, 1, 1, 1, 1, 1, 1, 1)",0,12,FALSE
"(2, 2, 2, 1, 1, 1, 1, 1, 1)",0,12,FALSE
"(4, 2, 1, 1, 1, 1, 1, 1)",1,12,FALSE
"(3, 3, 1, 1, 1, 1, 1, 1)",2,12,FALSE
"(6, 1, 1, 1, 1, 1, 1)",0,12,FALSE
"(3, 2, 2, 1, 1, 1, 1, 1)",1,12,FALSE
"(5, 2, 1, 1, 1, 1, 1)",1,12,FALSE
"(4, 3, 1, 1, 1, 1, 1)",5,12,FALSE
"(7, 1, 1, 1, 1, 1)",0,12,FALSE
"(2, 2, 2, 2, 1, 1, 1, 1)",3,12,FALSE
"(4, 2, 2, 1, 1, 1, 1)",0,12,FALSE
"(3, 3, 2, 1, 1, 1, 1)",6,12,FALSE
"(6, 2, 1, 1, 1, 1)",1,12,FALSE
"(5, 3, 1, 1, 1, 1)",0,12,FALSE
"(4, 4, 1, 1, 1, 1)",3,12,FALSE
"(8, 1, 1, 1, 1)",0,12,FALSE
"(3, 2, 2, 2, 1, 1, 1)",2,12,FALSE
"(5, 2, 2, 1, 1, 1)",5,12,FALSE
"(4, 3, 2, 1, 1, 1)",3,12,FALSE
"(7, 2, 1, 1, 1)",1,12,FALSE
"(3, 3, 3, 1, 1, 1)",0,12,FALSE
"(6, 3, 1, 1, 1)",5,12,FALSE
"(5, 4, 1, 1, 1)",1,12,FALSE
"(9, 1, 1, 1)",0,12,FALSE
"(2, 2, 2, 2, 2, 1, 1)",4,12,FALSE
"(4, 2, 2, 2, 1, 1)",3,12,FALSE
"(3, 3, 2, 2, 1, 1)",4,12,FALSE
"(6, 2, 2, 1, 1)",0,12,FALSE
"(5, 3, 2, 1, 1)",0,12,FALSE
"(4, 4, 2, 1, 1)",4,12,FALSE
"(8, 2, 1, 1)",1,12,FALSE
"(4, 3, 3, 1, 1)",4,12,FALSE
"(7, 3, 1, 1)",0,12,FALSE
"(6, 4, 1, 1)",3,12,FALSE
"(5, 5, 1, 1)",2,12,FALSE
"(10, 1, 1)",0,12,FALSE
"(3, 2, 2, 2, 2, 1)",2,12,FALSE
"(5, 2, 2, 2, 1)",1,12,FALSE
"(4, 3, 2, 2, 1)",4,12,FALSE
"(7, 2, 2, 1)",5,12,FALSE
"(3, 3, 3, 2, 1)",1,12,FALSE
"(6, 3, 2, 1)",3,12,FALSE
"(5, 4, 2, 1)",4,12,FALSE
"(9, 2, 1)",1,12,FALSE
"(5, 3, 3, 1)",4,12,FALSE
"(4, 4, 3, 1)",3,12,FALSE
"(8, 3, 1)",1,12,FALSE
"(7, 4, 1)",2,12,FALSE
"(6, 5, 1)",2,12,FALSE
"(11, 1)",0,12,FALSE
"(2, 2, 2, 2, 2, 2)",0,12,TRUE
"(4, 2, 2, 2, 2)",2,12,FALSE
"(3, 3, 2, 2, 2)",1,12,FALSE
"(6, 2, 2, 2)",3,12,TRUE
"(5, 3, 2, 2)",4,12,FALSE
"(4, 4, 2, 2)",0,12,TRUE
"(8, 2, 2)",2,12,FALSE
"(4, 3, 3, 2)",3,12,FALSE
"(7, 3, 2)",6,12,FALSE
"(6, 4, 2)",4,12,FALSE
"(5, 5, 2)",1,12,FALSE
"(10, 2)",3,12,TRUE
"(3, 3, 3, 3)",2,12,FALSE
"(6, 3, 3)",0,12,FALSE
"(5, 4, 3)",1,12,FALSE
"(9, 3)",0,12,FALSE
"(4, 4, 4)",2,12,FALSE
"(8, 4)",3,12,TRUE
"(7, 5)",4,12,FALSE
"(6, 6)",0,12,TRUE
"(12,)",2,12,FALSE
"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,13,FALSE
"(2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,13,FALSE
"(3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,13,FALSE
"(2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,13,FALSE
"(4, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,13,FALSE
"(3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",2,13,FALSE
"(5, 1, 1, 1, 1, 1, 1, 1, 1)",1,13,FALSE
"(2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",3,13,FALSE
"(4, 2, 1, 1, 1, 1, 1, 1, 1)",0,13,FALSE
"(3, 3, 1, 1, 1, 1, 1, 1, 1)",1,13,FALSE
"(6, 1, 1, 1, 1, 1, 1, 1)",3,13,FALSE
"(3, 2, 2, 1, 1, 1, 1, 1, 1)",2,13,FALSE
"(5, 2, 1, 1, 1, 1, 1, 1)",2,13,FALSE
"(4, 3, 1, 1, 1, 1, 1, 1)",3,13,FALSE
"(7, 1, 1, 1, 1, 1, 1)",1,13,FALSE
"(2, 2, 2, 2, 1, 1, 1, 1, 1)",0,13,FALSE
"(4, 2, 2, 1, 1, 1, 1, 1)",3,13,FALSE
"(3, 3, 2, 1, 1, 1, 1, 1)",5,13,FALSE
"(6, 2, 1, 1, 1, 1, 1)",2,13,FALSE
"(5, 3, 1, 1, 1, 1, 1)",1,13,FALSE
"(4, 4, 1, 1, 1, 1, 1)",0,13,FALSE
"(8, 1, 1, 1, 1, 1)",3,13,FALSE
"(3, 2, 2, 2, 1, 1, 1, 1)",1,13,FALSE
"(5, 2, 2, 1, 1, 1, 1)",4,13,FALSE
"(4, 3, 2, 1, 1, 1, 1)",0,13,FALSE
"(7, 2, 1, 1, 1, 1)",2,13,FALSE
"(3, 3, 3, 1, 1, 1, 1)",1,13,FALSE
"(6, 3, 1, 1, 1, 1)",3,13,FALSE
"(5, 4, 1, 1, 1, 1)",2,13,FALSE
"(9, 1, 1, 1, 1)",1,13,FALSE
"(2, 2, 2, 2, 2, 1, 1, 1)",3,13,FALSE
"(4, 2, 2, 2, 1, 1, 1)",4,13,FALSE
"(3, 3, 2, 2, 1, 1, 1)",2,13,FALSE
"(6, 2, 2, 1, 1, 1)",3,13,FALSE
"(5, 3, 2, 1, 1, 1)",7,13,FALSE
"(4, 4, 2, 1, 1, 1)",3,13,FALSE
"(8, 2, 1, 1, 1)",2,13,FALSE
"(4, 3, 3, 1, 1, 1)",3,13,FALSE
"(7, 3, 1, 1, 1)",4,13,FALSE
"(6, 4, 1, 1, 1)",0,13,FALSE
"(5, 5, 1, 1, 1)",1,13,FALSE
"(10, 1, 1, 1)",3,13,FALSE
"(3, 2, 2, 2, 2, 1, 1)",1,13,FALSE
"(5, 2, 2, 2, 1, 1)",0,13,FALSE
"(4, 3, 2, 2, 1, 1)",3,13,FALSE
"(7, 2, 2, 1, 1)",1,13,FALSE
"(3, 3, 3, 2, 1, 1)",2,13,FALSE
"(6, 3, 2, 1, 1)",7,13,FALSE
"(5, 4, 2, 1, 1)",0,13,FALSE
"(9, 2, 1, 1)",0,13,FALSE
"(5, 3, 3, 1, 1)",1,13,FALSE
"(4, 4, 3, 1, 1)",4,13,FALSE
"(8, 3, 1, 1)",3,13,FALSE
"(7, 4, 1, 1)",4,13,FALSE
"(6, 5, 1, 1)",3,13,FALSE
"(11, 1, 1)",1,13,FALSE
"(2, 2, 2, 2, 2, 2, 1)",4,13,FALSE
"(4, 2, 2, 2, 2, 1)",3,13,FALSE
"(3, 3, 2, 2, 2, 1)",2,13,FALSE
"(6, 2, 2, 2, 1)",2,13,FALSE
"(5, 3, 2, 2, 1)",0,13,FALSE
"(4, 4, 2, 2, 1)",4,13,FALSE
"(8, 2, 2, 1)",3,13,FALSE
"(4, 3, 3, 2, 1)",4,13,FALSE
"(7, 3, 2, 1)",0,13,FALSE
"(6, 4, 2, 1)",3,13,FALSE
"(5, 5, 2, 1)",2,13,FALSE
"(10, 2, 1)",2,13,FALSE
"(3, 3, 3, 3, 1)",1,13,FALSE
"(6, 3, 3, 1)",3,13,FALSE
"(5, 4, 3, 1)",4,13,FALSE
"(9, 3, 1)",2,13,FALSE
"(4, 4, 4, 1)",3,13,FALSE
"(8, 4, 1)",1,13,FALSE
"(7, 5, 1)",1,13,FALSE
"(6, 6, 1)",4,13,FALSE
"(12, 1)",3,13,FALSE
"(3, 2, 2, 2, 2, 2)",4,13,FALSE
"(5, 2, 2, 2, 2)",1,13,FALSE
"(4, 3, 2, 2, 2)",2,13,FALSE
"(7, 2, 2, 2)",0,13,FALSE
"(3, 3, 3, 2, 2)",1,13,FALSE
"(6, 3, 2, 2)",3,13,FALSE
"(5, 4, 2, 2)",4,13,FALSE
"(9, 2, 2)",1,13,FALSE
"(5, 3, 3, 2)",4,13,FALSE
"(4, 4, 3, 2)",0,13,FALSE
"(8, 3, 2)",5,13,FALSE
"(7, 4, 2)",2,13,FALSE
"(6, 5, 2)",2,13,FALSE
"(11, 2)",0,13,FALSE
"(4, 3, 3, 3)",3,13,FALSE
"(7, 3, 3)",1,13,FALSE
"(6, 4, 3)",2,13,FALSE
"(5, 5, 3)",1,13,FALSE
"(10, 3)",3,13,FALSE
"(5, 4, 4)",1,13,FALSE
"(9, 4)",0,13,FALSE
"(8, 5)",3,13,FALSE
"(7, 6)",4,13,FALSE
"(13,)",1,13,FALSE
"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,14,FALSE
"(2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,14,FALSE
"(3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,14,FALSE
"(2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,14,FALSE
"(4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,14,FALSE
"(3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,14,FALSE
"(5, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,14,FALSE
"(2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,14,FALSE
"(4, 2, 1, 1, 1, 1, 1, 1, 1, 1)",1,14,FALSE
"(3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",2,14,FALSE
"(6, 1, 1, 1, 1, 1, 1, 1, 1)",0,14,FALSE
"(3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",1,14,FALSE
"(5, 2, 1, 1, 1, 1, 1, 1, 1)",1,14,FALSE
"(4, 3, 1, 1, 1, 1, 1, 1, 1)",5,14,FALSE
"(7, 1, 1, 1, 1, 1, 1, 1)",0,14,FALSE
"(2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",3,14,FALSE
"(4, 2, 2, 1, 1, 1, 1, 1, 1)",0,14,FALSE
"(3, 3, 2, 1, 1, 1, 1, 1, 1)",6,14,FALSE
"(6, 2, 1, 1, 1, 1, 1, 1)",1,14,FALSE
"(5, 3, 1, 1, 1, 1, 1, 1)",0,14,FALSE
"(4, 4, 1, 1, 1, 1, 1, 1)",3,14,FALSE
"(8, 1, 1, 1, 1, 1, 1)",0,14,FALSE
"(3, 2, 2, 2, 1, 1, 1, 1, 1)",2,14,FALSE
"(5, 2, 2, 1, 1, 1, 1, 1)",5,14,FALSE
"(4, 3, 2, 1, 1, 1, 1, 1)",3,14,FALSE
"(7, 2, 1, 1, 1, 1, 1)",1,14,FALSE
"(3, 3, 3, 1, 1, 1, 1, 1)",0,14,FALSE
"(6, 3, 1, 1, 1, 1, 1)",5,14,FALSE
"(5, 4, 1, 1, 1, 1, 1)",1,14,FALSE
"(9, 1, 1, 1, 1, 1)",0,14,FALSE
"(2, 2, 2, 2, 2, 1, 1, 1, 1)",0,14,FALSE
"(4, 2, 2, 2, 1, 1, 1, 1)",5,14,FALSE
"(3, 3, 2, 2, 1, 1, 1, 1)",1,14,FALSE
"(6, 2, 2, 1, 1, 1, 1)",5,14,FALSE
"(5, 3, 2, 1, 1, 1, 1)",3,14,FALSE
"(4, 4, 2, 1, 1, 1, 1)",0,14,FALSE
"(8, 2, 1, 1, 1, 1)",1,14,FALSE
"(4, 3, 3, 1, 1, 1, 1)",0,14,FALSE
"(7, 3, 1, 1, 1, 1)",5,14,FALSE
"(6, 4, 1, 1, 1, 1)",3,14,FALSE
"(5, 5, 1, 1, 1, 1)",2,14,FALSE
"(10, 1, 1, 1, 1)",0,14,FALSE
"(3, 2, 2, 2, 2, 1, 1, 1)",6,14,FALSE
"(5, 2, 2, 2, 1, 1, 1)",5,14,FALSE
"(4, 3, 2, 2, 1, 1, 1)",0,14,FALSE
"(7, 2, 2, 1, 1, 1)",5,14,FALSE
"(3, 3, 3, 2, 1, 1, 1)",3,14,FALSE
"(6, 3, 2, 1, 1, 1)",0,14,FALSE
"(5, 4, 2, 1, 1, 1)",1,14,FALSE
"(9, 2, 1, 1, 1)",1,14,FALSE
"(5, 3, 3, 1, 1, 1)",0,14,FALSE
"(4, 4, 3, 1, 1, 1)",3,14,FALSE
"(8, 3, 1, 1, 1)",5,14,FALSE
"(7, 4, 1, 1, 1)",5,14,FALSE
"(6, 5, 1, 1, 1)",5,14,FALSE
"(11, 1, 1, 1)",0,14,FALSE
"(2, 2, 2, 2, 2, 2, 1, 1)",3,14,FALSE
"(4, 2, 2, 2, 2, 1, 1)",2,14,FALSE
"(3, 3, 2, 2, 2, 1, 1)",7,14,FALSE
"(6, 2, 2, 2, 1, 1)",3,14,FALSE
"(5, 3, 2, 2, 1, 1)",7,14,FALSE
"(4, 4, 2, 2, 1, 1)",3,14,FALSE
"(8, 2, 2, 1, 1)",0,14,FALSE
"(4, 3, 3, 2, 1, 1)",1,14,FALSE
"(7, 3, 2, 1, 1)",3,14,FALSE
"(6, 4, 2, 1, 1)",7,14,FALSE
"(5, 5, 2, 1, 1)",1,14,FALSE
"(10, 2, 1, 1)",1,14,FALSE
"(3, 3, 3, 3, 1, 1)",2,14,FALSE
"(6, 3, 3, 1, 1)",0,14,FALSE
"(5, 4, 3, 1, 1)",1,14,FALSE
"(9, 3, 1, 1)",0,14,FALSE
"(4, 4, 4, 1, 1)",0,14,FALSE
"(8, 4, 1, 1)",5,14,FALSE
"(7, 5, 1, 1)",2,14,FALSE
"(6, 6, 1, 1)",3,14,FALSE
"(12, 1, 1)",0,14,FALSE
"(3, 2, 2, 2, 2, 2, 1)",1,14,FALSE
"(5, 2, 2, 2, 2, 1)",5,14,FALSE
"(4, 3, 2, 2, 2, 1)",0,14,FALSE
"(7, 2, 2, 2, 1)",1,14,FALSE
"(3, 3, 3, 2, 2, 1)",2,14,FALSE
"(6, 3, 2, 2, 1)",1,14,FALSE
"(5, 4, 2, 2, 1)",0,14,FALSE
"(9, 2, 2, 1)",5,14,FALSE
"(5, 3, 3, 2, 1)",1,14,FALSE
"(4, 4, 3, 2, 1)",4,14,FALSE
"(8, 3, 2, 1)",3,14,FALSE
"(7, 4, 2, 1)",0,14,FALSE
"(6, 5, 2, 1)",0,14,FALSE
"(11, 2, 1)",1,14,FALSE
"(4, 3, 3, 3, 1)",0,14,FALSE
"(7, 3, 3, 1)",0,14,FALSE
"(6, 4, 3, 1)",1,14,FALSE
"(5, 5, 3, 1)",4,14,FALSE
"(10, 3, 1)",1,14,FALSE
"(5, 4, 4, 1)",0,14,FALSE
"(9, 4, 1)",2,14,FALSE
"(8, 5, 1)",6,14,FALSE
"(7, 6, 1)",1,14,FALSE
"(13, 1)",0,14,FALSE
"(2, 2, 2, 2, 2, 2, 2)",2,14,FALSE
"(4, 2, 2, 2, 2, 2)",3,14,TRUE
"(3, 3, 2, 2, 2, 2)",2,14,FALSE
"(6, 2, 2, 2, 2)",2,14,FALSE
"(5, 3, 2, 2, 2)",1,14,FALSE
"(4, 4, 2, 2, 2)",2,14,FALSE
"(8, 2, 2, 2)",3,14,TRUE
"(4, 3, 3, 2, 2)",4,14,FALSE
"(7, 3, 2, 2)",0,14,FALSE
"(6, 4, 2, 2)",3,14,TRUE
"(5, 5, 2, 2)",2,14,FALSE
"(10, 2, 2)",2,14,FALSE
"(3, 3, 3, 3, 2)",0,14,FALSE
"(6, 3, 3, 2)",3,14,FALSE
"(5, 4, 3, 2)",4,14,FALSE
"(9, 3, 2)",6,14,FALSE
"(4, 4, 4, 2)",3,14,TRUE
"(8, 4, 2)",1,14,FALSE
"(7, 5, 2)",7,14,FALSE
"(6, 6, 2)",2,14,FALSE
"(12, 2)",3,14,TRUE
"(5, 3, 3, 3)",0,14,FALSE
"(4, 4, 3, 3)",3,14,FALSE
"(8, 3, 3)",0,14,FALSE
"(7, 4, 3)",3,14,FALSE
"(6, 5, 3)",2,14,FALSE
"(11, 3)",0,14,FALSE
"(6, 4, 4)",2,14,FALSE
"(5, 5, 4)",0,14,FALSE
"(10, 4)",3,14,TRUE
"(9, 5)",0,14,FALSE
"(8, 6)",3,14,TRUE
"(7, 7)",2,14,FALSE
"(14,)",2,14,FALSE
"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,15,FALSE
"(2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,15,FALSE
"(3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,15,FALSE
"(2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,15,FALSE
"(4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,15,FALSE
"(3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,15,FALSE
"(5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,15,FALSE
"(2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,15,FALSE
"(4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,15,FALSE
"(3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,15,FALSE
"(6, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,15,FALSE
"(3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",2,15,FALSE
"(5, 2, 1, 1, 1, 1, 1, 1, 1, 1)",2,15,FALSE
"(4, 3, 1, 1, 1, 1, 1, 1, 1, 1)",3,15,FALSE
"(7, 1, 1, 1, 1, 1, 1, 1, 1)",1,15,FALSE
"(2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",0,15,FALSE
