,sg_value,integer
"(8, 1, 1)",0,10
"(3, 2, 2, 2, 1)",1,10
"(5, 2, 2, 1)",5,10
"(4, 3, 2, 1)",0,10
"(7, 2, 1)",1,10
"(3, 3, 3, 1)",4,10
"(6, 3, 1)",6,10
"(5, 4, 1)",1,10
"(9, 1)",0,10
"(2, 2, 2, 2, 2)",2,10
"(4, 2, 2, 2)",3,10
"(3, 3, 2, 2)",2,10
"(6, 2, 2)",2,10
"(5, 3, 2)",6,10
"(4, 4, 2)",2,10
"(8, 2)",3,10
"(4, 3, 3)",4,10
"(7, 3)",0,10
"(6, 4)",3,10
"(5, 5)",2,10
"(10,)",2,10
"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,11
"(2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,11
"(3, 1, 1, 1, 1, 1, 1, 1, 1)",1,11
"(2, 2, 1, 1, 1, 1, 1, 1, 1)",0,11
"(4, 1, 1, 1, 1, 1, 1, 1)",3,11
"(3, 2, 1, 1, 1, 1, 1, 1)",2,11
"(5, 1, 1, 1, 1, 1, 1)",1,11
"(2, 2, 2, 1, 1, 1, 1, 1)",3,11
"(4, 2, 1, 1, 1, 1, 1)",0,11
"(3, 3, 1, 1, 1, 1, 1)",1,11
"(6, 1, 1, 1, 1, 1)",3,11
"(3, 2, 2, 1, 1, 1, 1)",2,11
"(5, 2, 1, 1, 1, 1)",2,11
"(4, 3, 1, 1, 1, 1)",3,11
"(7, 1, 1, 1, 1)",1,11
"(2, 2, 2, 2, 1, 1, 1)",0,11
"(4, 2, 2, 1, 1, 1)",3,11
"(3, 3, 2, 1, 1, 1)",5,11
"(6, 2, 1, 1, 1)",2,11
"(5, 3, 1, 1, 1)",1,11
"(4, 4, 1, 1, 1)",0,11
"(8, 1, 1, 1)",3,11
"(3, 2, 2, 2, 1, 1)",6,11
"(5, 2, 2, 1, 1)",1,11
"(4, 3, 2, 1, 1)",4,11
"(7, 2, 1, 1)",0,11
"(3, 3, 3, 1, 1)",1,11
"(6, 3, 1, 1)",3,11
"(5, 4, 1, 1)",2,11
"(9, 1, 1)",1,11
"(2, 2, 2, 2, 2, 1)",0,11
"(4, 2, 2, 2, 1)",2,11
"(3, 3, 2, 2, 1)",0,11
"(6, 2, 2, 1)",3,11
"(5, 3, 2, 1)",4,11
"(4, 4, 2, 1)",0,11
"(8, 2, 1)",2,11
"(4, 3, 3, 1)",0,11
"(7, 3, 1)",2,11
"(6, 4, 1)",6,11
"(5, 5, 1)",1,11
"(10, 1)",3,11
"(3, 2, 2, 2, 2)",1,11
"(5, 2, 2, 2)",0,11
"(4, 3, 2, 2)",0,11
"(7, 2, 2)",1,11
"(3, 3, 3, 2)",2,11
"(6, 3, 2)",5,11
"(5, 4, 2)",0,11
"(9, 2)",0,11
"(5, 3, 3)",1,11
"(4, 4, 3)",2,11
"(8, 3)",3,11
"(7, 4)",0,11
"(6, 5)",0,11
"(11,)",1,11
"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,12
"(2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,12
"(3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,12
"(2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,12
"(4, 1, 1, 1, 1, 1, 1, 1, 1)",0,12
"(3, 2, 1, 1, 1, 1, 1, 1, 1)",1,12
"(5, 1, 1, 1, 1, 1, 1, 1)",0,12
"(2, 2, 2, 1, 1, 1, 1, 1, 1)",0,12
"(4, 2, 1, 1, 1, 1, 1, 1)",1,12
"(3, 3, 1, 1, 1, 1, 1, 1)",2,12
"(6, 1, 1, 1, 1, 1, 1)",0,12
"(3, 2, 2, 1, 1, 1, 1, 1)",1,12
"(5, 2, 1, 1, 1, 1, 1)",1,12
"(4, 3, 1, 1, 1, 1, 1)",5,12
"(7, 1, 1, 1, 1, 1)",0,12
"(2, 2, 2, 2, 1, 1, 1, 1)",3,12
"(4, 2, 2, 1, 1, 1, 1)",0,12
"(3, 3, 2, 1, 1, 1, 1)",6,12
"(6, 2, 1, 1, 1, 1)",1,12
"(5, 3, 1, 1, 1, 1)",0,12
"(4, 4, 1, 1, 1, 1)",3,12
"(8, 1, 1, 1, 1)",0,12
"(3, 2, 2, 2, 1, 1, 1)",2,12
"(5, 2, 2, 1, 1, 1)",5,12
"(4, 3, 2, 1, 1, 1)",3,12
"(7, 2, 1, 1, 1)",1,12
"(3, 3, 3, 1, 1, 1)",0,12
"(6, 3, 1, 1, 1)",5,12
"(5, 4, 1, 1, 1)",1,12
"(9, 1, 1, 1)",0,12
"(2, 2, 2, 2, 2, 1, 1)",4,12
"(4, 2, 2, 2, 1, 1)",3,12
"(3, 3, 2, 2, 1, 1)",4,12
"(6, 2, 2, 1, 1)",0,12
"(5, 3, 2, 1, 1)",0,12
"(4, 4, 2, 1, 1)",4,12
"(8, 2, 1, 1)",1,12
"(4, 3, 3, 1, 1)",4,12
"(7, 3, 1, 1)",0,12
"(6, 4, 1, 1)",3,12
"(5, 5, 1, 1)",2,12
"(10, 1, 1)",0,12
"(3, 2, 2, 2, 2, 1)",2,12
"(5, 2, 2, 2, 1)",1,12
"(4, 3, 2, 2, 1)",4,12
"(7, 2, 2, 1)",5,12
"(3, 3, 3, 2, 1)",1,12
"(6, 3, 2, 1)",3,12
"(5, 4, 2, 1)",4,12
"(9, 2, 1)",1,12
"(5, 3, 3, 1)",4,12
"(4, 4, 3, 1)",3,12
"(8, 3, 1)",1,12
"(7, 4, 1)",2,12
"(6, 5, 1)",2,12
"(11, 1)",0,12
"(2, 2, 2, 2, 2, 2)",0,12
"(4, 2, 2, 2, 2)",2,12
"(3, 3, 2, 2, 2)",1,12
"(6, 2, 2, 2)",3,12
"(5, 3, 2, 2)",4,12
"(4, 4, 2, 2)",0,12
"(8, 2, 2)",2,12
"(4, 3, 3, 2)",3,12
"(7, 3, 2)",6,12
"(6, 4, 2)",4,12
"(5, 5, 2)",1,12
"(10, 2)",3,12
"(3, 3, 3, 3)",2,12
"(6, 3, 3)",0,12
"(5, 4, 3)",1,12
"(9, 3)",0,12
"(4, 4, 4)",2,12
"(8, 4)",3,12
"(7, 5)",4,12
"(6, 6)",0,12
"(12,)",2,12
"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,13
"(2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,13
"(3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,13
"(2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,13
"(4, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,13
"(3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",2,13
"(5, 1, 1, 1, 1, 1, 1, 1, 1)",1,13
"(2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",3,13
"(4, 2, 1, 1, 1, 1, 1, 1, 1)",0,13
"(3, 3, 1, 1, 1, 1, 1, 1, 1)",1,13
"(6, 1, 1, 1, 1, 1, 1, 1)",3,13
"(3, 2, 2, 1, 1, 1, 1, 1, 1)",2,13
"(5, 2, 1, 1, 1, 1, 1, 1)",2,13
"(4, 3, 1, 1, 1, 1, 1, 1)",3,13
"(7, 1, 1, 1, 1, 1, 1)",1,13
"(2, 2, 2, 2, 1, 1, 1, 1, 1)",0,13
"(4, 2, 2, 1, 1, 1, 1, 1)",3,13
"(3, 3, 2, 1, 1, 1, 1, 1)",5,13
"(6, 2, 1, 1, 1, 1, 1)",2,13
"(5, 3, 1, 1, 1, 1, 1)",1,13
"(4, 4, 1, 1, 1, 1, 1)",0,13
"(8, 1, 1, 1, 1, 1)",3,13
"(3, 2, 2, 2, 1, 1, 1, 1)",1,13
"(5, 2, 2, 1, 1, 1, 1)",4,13
"(4, 3, 2, 1, 1, 1, 1)",0,13
"(7, 2, 1, 1, 1, 1)",2,13
"(3, 3, 3, 1, 1, 1, 1)",1,13
"(6, 3, 1, 1, 1, 1)",3,13
"(5, 4, 1, 1, 1, 1)",2,13
"(9, 1, 1, 1, 1)",1,13
"(2, 2, 2, 2, 2, 1, 1, 1)",3,13
"(4, 2, 2, 2, 1, 1, 1)",4,13
"(3, 3, 2, 2, 1, 1, 1)",2,13
"(6, 2, 2, 1, 1, 1)",3,13
"(5, 3, 2, 1, 1, 1)",7,13
"(4, 4, 2, 1, 1, 1)",3,13
"(8, 2, 1, 1, 1)",2,13
"(4, 3, 3, 1, 1, 1)",3,13
"(7, 3, 1, 1, 1)",4,13
"(6, 4, 1, 1, 1)",0,13
"(5, 5, 1, 1, 1)",1,13
"(10, 1, 1, 1)",3,13
"(3, 2, 2, 2, 2, 1, 1)",1,13
"(5, 2, 2, 2, 1, 1)",0,13
"(4, 3, 2, 2, 1, 1)",3,13
"(7, 2, 2, 1, 1)",1,13
"(3, 3, 3, 2, 1, 1)",2,13
"(6, 3, 2, 1, 1)",7,13
"(5, 4, 2, 1, 1)",0,13
"(9, 2, 1, 1)",0,13
"(5, 3, 3, 1, 1)",1,13
"(4, 4, 3, 1, 1)",4,13
"(8, 3, 1, 1)",3,13
"(7, 4, 1, 1)",4,13
"(6, 5, 1, 1)",3,13
"(11, 1, 1)",1,13
"(2, 2, 2, 2, 2, 2, 1)",4,13
"(4, 2, 2, 2, 2, 1)",3,13
"(3, 3, 2, 2, 2, 1)",2,13
"(6, 2, 2, 2, 1)",2,13
"(5, 3, 2, 2, 1)",0,13
"(4, 4, 2, 2, 1)",4,13
"(8, 2, 2, 1)",3,13
"(4, 3, 3, 2, 1)",4,13
"(7, 3, 2, 1)",0,13
"(6, 4, 2, 1)",3,13
"(5, 5, 2, 1)",2,13
"(10, 2, 1)",2,13
"(3, 3, 3, 3, 1)",1,13
"(6, 3, 3, 1)",3,13
"(5, 4, 3, 1)",4,13
"(9, 3, 1)",2,13
"(4, 4, 4, 1)",3,13
"(8, 4, 1)",1,13
"(7, 5, 1)",1,13
"(6, 6, 1)",4,13
"(12, 1)",3,13
"(3, 2, 2, 2, 2, 2)",4,13
"(5, 2, 2, 2, 2)",1,13
"(4, 3, 2, 2, 2)",2,13
"(7, 2, 2, 2)",0,13
"(3, 3, 3, 2, 2)",1,13
"(6, 3, 2, 2)",3,13
"(5, 4, 2, 2)",4,13
"(9, 2, 2)",1,13
"(5, 3, 3, 2)",4,13
"(4, 4, 3, 2)",0,13
"(8, 3, 2)",5,13
"(7, 4, 2)",2,13
"(6, 5, 2)",2,13
"(11, 2)",0,13
"(4, 3, 3, 3)",3,13
"(7, 3, 3)",1,13
"(6, 4, 3)",2,13
"(5, 5, 3)",1,13
"(10, 3)",3,13
"(5, 4, 4)",1,13
"(9, 4)",0,13
"(8, 5)",3,13
"(7, 6)",4,13
"(13,)",1,13
"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,14
"(2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,14
"(3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,14
"(2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,14
"(4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,14
"(3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,14
"(5, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,14
"(2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,14
"(4, 2, 1, 1, 1, 1, 1, 1, 1, 1)",1,14
"(3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",2,14
"(6, 1, 1, 1, 1, 1, 1, 1, 1)",0,14
"(3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",1,14
"(5, 2, 1, 1, 1, 1, 1, 1, 1)",1,14
"(4, 3, 1, 1, 1, 1, 1, 1, 1)",5,14
"(7, 1, 1, 1, 1, 1, 1, 1)",0,14
"(2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",3,14
"(4, 2, 2, 1, 1, 1, 1, 1, 1)",0,14
"(3, 3, 2, 1, 1, 1, 1, 1, 1)",6,14
"(6, 2, 1, 1, 1, 1, 1, 1)",1,14
"(5, 3, 1, 1, 1, 1, 1, 1)",0,14
"(4, 4, 1, 1, 1, 1, 1, 1)",3,14
"(8, 1, 1, 1, 1, 1, 1)",0,14
"(3, 2, 2, 2, 1, 1, 1, 1, 1)",2,14
"(5, 2, 2, 1, 1, 1, 1, 1)",5,14
"(4, 3, 2, 1, 1, 1, 1, 1)",3,14
"(7, 2, 1, 1, 1, 1, 1)",1,14
"(3, 3, 3, 1, 1, 1, 1, 1)",0,14
"(6, 3, 1, 1, 1, 1, 1)",5,14
"(5, 4, 1, 1, 1, 1, 1)",1,14
"(9, 1, 1, 1, 1, 1)",0,14
"(2, 2, 2, 2, 2, 1, 1, 1, 1)",0,14
"(4, 2, 2, 2, 1, 1, 1, 1)",5,14
"(3, 3, 2, 2, 1, 1, 1, 1)",1,14
"(6, 2, 2, 1, 1, 1, 1)",5,14
"(5, 3, 2, 1, 1, 1, 1)",3,14
"(4, 4, 2, 1, 1, 1, 1)",0,14
"(8, 2, 1, 1, 1, 1)",1,14
"(4, 3, 3, 1, 1, 1, 1)",0,14
"(7, 3, 1, 1, 1, 1)",5,14
"(6, 4, 1, 1, 1, 1)",3,14
"(5, 5, 1, 1, 1, 1)",2,14
"(10, 1, 1, 1, 1)",0,14
"(3, 2, 2, 2, 2, 1, 1, 1)",6,14
"(5, 2, 2, 2, 1, 1, 1)",5,14
"(4, 3, 2, 2, 1, 1, 1)",0,14
"(7, 2, 2, 1, 1, 1)",5,14
"(3, 3, 3, 2, 1, 1, 1)",3,14
"(6, 3, 2, 1, 1, 1)",0,14
"(5, 4, 2, 1, 1, 1)",1,14
"(9, 2, 1, 1, 1)",1,14
"(5, 3, 3, 1, 1, 1)",0,14
"(4, 4, 3, 1, 1, 1)",3,14
"(8, 3, 1, 1, 1)",5,14
"(7, 4, 1, 1, 1)",5,14
"(6, 5, 1, 1, 1)",5,14
"(11, 1, 1, 1)",0,14
"(2, 2, 2, 2, 2, 2, 1, 1)",3,14
"(4, 2, 2, 2, 2, 1, 1)",2,14
"(3, 3, 2, 2, 2, 1, 1)",7,14
"(6, 2, 2, 2, 1, 1)",3,14
"(5, 3, 2, 2, 1, 1)",7,14
"(4, 4, 2, 2, 1, 1)",3,14
"(8, 2, 2, 1, 1)",0,14
"(4, 3, 3, 2, 1, 1)",1,14
"(7, 3, 2, 1, 1)",3,14
"(6, 4, 2, 1, 1)",7,14
"(5, 5, 2, 1, 1)",1,14
"(10, 2, 1, 1)",1,14
"(3, 3, 3, 3, 1, 1)",2,14
"(6, 3, 3, 1, 1)",0,14
"(5, 4, 3, 1, 1)",1,14
"(9, 3, 1, 1)",0,14
"(4, 4, 4, 1, 1)",0,14
"(8, 4, 1, 1)",5,14
"(7, 5, 1, 1)",2,14
"(6, 6, 1, 1)",3,14
"(12, 1, 1)",0,14
"(3, 2, 2, 2, 2, 2, 1)",1,14
"(5, 2, 2, 2, 2, 1)",5,14
"(4, 3, 2, 2, 2, 1)",0,14
"(7, 2, 2, 2, 1)",1,14
"(3, 3, 3, 2, 2, 1)",2,14
"(6, 3, 2, 2, 1)",1,14
"(5, 4, 2, 2, 1)",0,14
"(9, 2, 2, 1)",5,14
"(5, 3, 3, 2, 1)",1,14
"(4, 4, 3, 2, 1)",4,14
"(8, 3, 2, 1)",3,14
"(7, 4, 2, 1)",0,14
"(6, 5, 2, 1)",0,14
"(11, 2, 1)",1,14
"(4, 3, 3, 3, 1)",0,14
"(7, 3, 3, 1)",0,14
"(6, 4, 3, 1)",1,14
"(5, 5, 3, 1)",4,14
"(10, 3, 1)",1,14
"(5, 4, 4, 1)",0,14
"(9, 4, 1)",2,14
"(8, 5, 1)",6,14
"(7, 6, 1)",1,14
"(13, 1)",0,14
"(2, 2, 2, 2, 2, 2, 2)",2,14
"(4, 2, 2, 2, 2, 2)",3,14
"(3, 3, 2, 2, 2, 2)",2,14
"(6, 2, 2, 2, 2)",2,14
"(5, 3, 2, 2, 2)",1,14
"(4, 4, 2, 2, 2)",2,14
"(8, 2, 2, 2)",3,14
"(4, 3, 3, 2, 2)",4,14
"(7, 3, 2, 2)",0,14
"(6, 4, 2, 2)",3,14
"(5, 5, 2, 2)",2,14
"(10, 2, 2)",2,14
"(3, 3, 3, 3, 2)",0,14
"(6, 3, 3, 2)",3,14
"(5, 4, 3, 2)",4,14
"(9, 3, 2)",6,14
"(4, 4, 4, 2)",3,14
"(8, 4, 2)",1,14
"(7, 5, 2)",7,14
"(6, 6, 2)",2,14
"(12, 2)",3,14
"(5, 3, 3, 3)",0,14
"(4, 4, 3, 3)",3,14
"(8, 3, 3)",0,14
"(7, 4, 3)",3,14
"(6, 5, 3)",2,14
"(11, 3)",0,14
"(6, 4, 4)",2,14
"(5, 5, 4)",0,14
"(10, 4)",3,14
"(9, 5)",0,14
"(8, 6)",3,14
"(7, 7)",2,14
"(14,)",2,14
"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,15
"(2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,15
"(3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,15
"(2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,15
"(4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,15
"(3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,15
"(5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,15
"(2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,15
"(4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,15
"(3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,15
"(6, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,15
"(3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",2,15
"(5, 2, 1, 1, 1, 1, 1, 1, 1, 1)",2,15
"(4, 3, 1, 1, 1, 1, 1, 1, 1, 1)",3,15
"(7, 1, 1, 1, 1, 1, 1, 1, 1)",1,15
"(2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",0,15
"(4, 2, 2, 1, 1, 1, 1, 1, 1, 1)",3,15
"(3, 3, 2, 1, 1, 1, 1, 1, 1, 1)",5,15
"(6, 2, 1, 1, 1, 1, 1, 1, 1)",2,15
"(5, 3, 1, 1, 1, 1, 1, 1, 1)",1,15
"(4, 4, 1, 1, 1, 1, 1, 1, 1)",0,15
"(8, 1, 1, 1, 1, 1, 1, 1)",3,15
"(3, 2, 2, 2, 1, 1, 1, 1, 1, 1)",1,15
"(5, 2, 2, 1, 1, 1, 1, 1, 1)",4,15
"(4, 3, 2, 1, 1, 1, 1, 1, 1)",0,15
"(7, 2, 1, 1, 1, 1, 1, 1)",2,15
"(3, 3, 3, 1, 1, 1, 1, 1, 1)",1,15
"(6, 3, 1, 1, 1, 1, 1, 1)",3,15
"(5, 4, 1, 1, 1, 1, 1, 1)",2,15
"(9, 1, 1, 1, 1, 1, 1)",1,15
"(2, 2, 2, 2, 2, 1, 1, 1, 1, 1)",3,15
"(4, 2, 2, 2, 1, 1, 1, 1, 1)",4,15
"(3, 3, 2, 2, 1, 1, 1, 1, 1)",2,15
"(6, 2, 2, 1, 1, 1, 1, 1)",4,15
"(5, 3, 2, 1, 1, 1, 1, 1)",0,15
"(4, 4, 2, 1, 1, 1, 1, 1)",3,15
"(8, 2, 1, 1, 1, 1, 1)",2,15
"(4, 3, 3, 1, 1, 1, 1, 1)",3,15
"(7, 3, 1, 1, 1, 1, 1)",4,15
"(6, 4, 1, 1, 1, 1, 1)",0,15
"(5, 5, 1, 1, 1, 1, 1)",1,15
"(10, 1, 1, 1, 1, 1)",3,15
"(3, 2, 2, 2, 2, 1, 1, 1, 1)",2,15
"(5, 2, 2, 2, 1, 1, 1, 1)",4,15
"(4, 3, 2, 2, 1, 1, 1, 1)",3,15
"(7, 2, 2, 1, 1, 1, 1)",4,15
"(3, 3, 3, 2, 1, 1, 1, 1)",1,15
"(6, 3, 2, 1, 1, 1, 1)",5,15
"(5, 4, 2, 1, 1, 1, 1)",3,15
"(9, 2, 1, 1, 1, 1)",2,15
"(5, 3, 3, 1, 1, 1, 1)",1,15
"(4, 4, 3, 1, 1, 1, 1)",4,15
"(8, 3, 1, 1, 1, 1)",4,15
"(7, 4, 1, 1, 1, 1)",4,15
"(6, 5, 1, 1, 1, 1)",3,15
"(11, 1, 1, 1, 1)",1,15
"(2, 2, 2, 2, 2, 2, 1, 1, 1)",0,15
"(4, 2, 2, 2, 2, 1, 1, 1)",4,15
"(3, 3, 2, 2, 2, 1, 1, 1)",1,15
"(6, 2, 2, 2, 1, 1, 1)",4,15
"(5, 3, 2, 2, 1, 1, 1)",4,15
"(4, 4, 2, 2, 1, 1, 1)",0,15
"(8, 2, 2, 1, 1, 1)",3,15
"(4, 3, 3, 2, 1, 1, 1)",0,15
"(7, 3, 2, 1, 1, 1)",5,15
"(6, 4, 2, 1, 1, 1)",3,15
"(5, 5, 2, 1, 1, 1)",5,15
"(10, 2, 1, 1, 1)",2,15
"(3, 3, 3, 3, 1, 1, 1)",1,15
"(6, 3, 3, 1, 1, 1)",3,15
"(5, 4, 3, 1, 1, 1)",0,15
"(9, 3, 1, 1, 1)",4,15
"(4, 4, 4, 1, 1, 1)",3,15
"(8, 4, 1, 1, 1)",4,15
"(7, 5, 1, 1, 1)",1,15
"(6, 6, 1, 1, 1)",0,15
"(12, 1, 1, 1)",3,15
"(3, 2, 2, 2, 2, 2, 1, 1)",6,15
"(5, 2, 2, 2, 2, 1, 1)",1,15
"(4, 3, 2, 2, 2, 1, 1)",4,15
"(7, 2, 2, 2, 1, 1)",0,15
"(3, 3, 3, 2, 2, 1, 1)",3,15
"(6, 3, 2, 2, 1, 1)",3,15
"(5, 4, 2, 2, 1, 1)",1,15
"(9, 2, 2, 1, 1)",1,15
"(5, 3, 3, 2, 1, 1)",2,15
"(4, 4, 3, 2, 1, 1)",3,15
"(8, 3, 2, 1, 1)",0,15
"(7, 4, 2, 1, 1)",4,15
"(6, 5, 2, 1, 1)",4,15
"(11, 2, 1, 1)",0,15
"(4, 3, 3, 3, 1, 1)",3,15
"(7, 3, 3, 1, 1)",1,15
"(6, 4, 3, 1, 1)",2,15
"(5, 5, 3, 1, 1)",1,15
"(10, 3, 1, 1)",3,15
"(5, 4, 4, 1, 1)",2,15
"(9, 4, 1, 1)",4,15
"(8, 5, 1, 1)",4,15
"(7, 6, 1, 1)",2,15
"(13, 1, 1)",1,15
"(2, 2, 2, 2, 2, 2, 2, 1)",0,15
"(4, 2, 2, 2, 2, 2, 1)",2,15
"(3, 3, 2, 2, 2, 2, 1)",1,15
"(6, 2, 2, 2, 2, 1)",3,15
"(5, 3, 2, 2, 2, 1)",4,15
"(4, 4, 2, 2, 2, 1)",0,15
"(8, 2, 2, 2, 1)",2,15
"(4, 3, 3, 2, 2, 1)",3,15
"(7, 3, 2, 2, 1)",3,15
"(6, 4, 2, 2, 1)",1,15
"(5, 5, 2, 2, 1)",1,15
"(10, 2, 2, 1)",3,15
"(3, 3, 3, 3, 2, 1)",2,15
"(6, 3, 3, 2, 1)",0,15
"(5, 4, 3, 2, 1)",1,15
"(9, 3, 2, 1)",0,15
"(4, 4, 4, 2, 1)",2,15
"(8, 4, 2, 1)",3,15
